class_index,class_name,count,percentage,mean_red,mean_green,mean_blue,std_red,std_green,std_blue,mean_intensity
0,class_0,1081,6.0949,0.16068987548351288,0.15784664452075958,0.15746812522411346,0.11439873278141022,0.10762971639633179,0.10958326607942581,0.15866822004318237
1,class_1,1853,10.4477,0.17667965590953827,0.17003752291202545,0.16211490333080292,0.13997916877269745,0.1260915994644165,0.11233196407556534,0.16961069405078888
2,class_2,2645,14.9132,0.16481372714042664,0.15731632709503174,0.14992888271808624,0.12249688804149628,0.10621050000190735,0.09314125776290894,0.1573529690504074
3,class_3,2027,11.4287,0.15761375427246094,0.15198831260204315,0.14669929444789886,0.1153813973069191,0.10224372893571854,0.09038969874382019,0.15210045874118805
4,class_4,334,1.8832,0.1522800773382187,0.14677223563194275,0.14380845427513123,0.11058422178030014,0.09872180223464966,0.09115555882453918,0.14762026071548462
5,class_5,2043,11.5189,0.17539919912815094,0.17222212255001068,0.16968819499015808,0.13778318464756012,0.1309633105993271,0.12509503960609436,0.17243649065494537
6,class_6,1829,10.3124,0.17823509871959686,0.17528925836086273,0.17428112030029297,0.14173582196235657,0.13605928421020508,0.1347966343164444,0.17593516409397125
7,class_7,2628,14.8173,0.16454586386680603,0.16275548934936523,0.16310833394527435,0.1211443692445755,0.11688749492168427,0.11851982772350311,0.16346991062164307
8,class_8,1423,8.0232,0.16908295452594757,0.16579237580299377,0.1649203598499298,0.13457192480564117,0.12551744282245636,0.12402737140655518,0.16659855842590332
9,class_9,1873,10.5604,0.16318656504154205,0.15433064103126526,0.14812538027763367,0.13026732206344604,0.10968935489654541,0.09447149187326431,0.15521419048309326
